,precision,recall,f1-score,support
//m276nw,0.6666666666666666,1.0,0.8,2.0
//m277c6,1.0,1.0,1.0,1.0
//m277dw,0.6470588235294118,1.0,0.7857142857142858,66.0
//m277n,0.6666666666666666,1.0,0.8,12.0
//m2q28a,1.0,1.0,1.0,1.0
//m3006,1.0,1.0,1.0,2.0
//m337x,1.0,1.0,1.0,20.0
//m375nw,1.0,1.0,1.0,7.0
//m401dn,0.6666666666666666,1.0,0.8,10.0
//m401dne,0.7777777777777778,1.0,0.8750000000000001,7.0
//m401dw,1.0,1.0,1.0,1.0
//m401n,0.6,1.0,0.7499999999999999,3.0
//m4100-26g,1.0,1.0,1.0,1.0
//m425dn,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
//m425dw,1.0,1.0,1.0,2.0
//m451dn,0.686046511627907,1.0,0.8137931034482759,59.0
//m451dw,0.6875,1.0,0.8148148148148148,11.0
//m451nw,0.7272727272727273,1.0,0.8421052631578948,16.0
//m475dn,0.68,1.0,0.8095238095238095,17.0
//m475dw,1.0,1.0,1.0,3.0
//m476dn,0.6470588235294118,1.0,0.7857142857142858,11.0
//m476dw,0.6666666666666666,1.0,0.8,12.0
//m476nw,1.0,1.0,1.0,7.0
//m521dw,1.0,1.0,1.0,3.0
//m570dn,0.6,1.0,0.7499999999999999,15.0
//m570dw,1.0,1.0,1.0,4.0
//m601,1.0,1.0,1.0,17.0
//m680,1.0,1.0,1.0,1.0
//m7014,1.0,1.0,1.0,2.0
//m7cam,1.0,1.0,1.0,5.0
//m9l81a,1.0,1.0,1.0,4.0
//mbr-800,1.0,1.0,1.0,3.0
//mbr1200,1.0,1.0,1.0,8.0
//mfc-7360n,1.0,1.0,1.0,11.0
//mfc-7460dn,1.0,1.0,1.0,2.0
//mfc-7820n,1.0,1.0,1.0,1.0
//mfc-7840w,1.0,1.0,1.0,1.0
//mfc-7860dw,1.0,1.0,1.0,4.0
//mfc-8480dn,1.0,1.0,1.0,2.0
//mfc-8880dn,1.0,1.0,1.0,2.0
//mfc-8890dw,1.0,1.0,1.0,1.0
//mfc-9120cn,1.0,1.0,1.0,1.0
//mfc-9460cdn,1.0,1.0,1.0,1.0
//mfc-9970cdw,1.0,1.0,1.0,2.0
