,precision,recall,f1-score,support
/hp/e809a,1.0,1.0,1.0,2.0
/hp/envy 4510 series,0.0,0.0,0.0,1.0
/hp/envy 4520 series,1.0,0.7368421052631579,0.8484848484848484,38.0
/hp/envy 5530 series,1.0,0.1,0.18181818181818182,10.0
/hp/envy 5540 series,1.0,0.7,0.8235294117647058,10.0
/hp/envy 5640 series,0.0,0.0,0.0,6.0
/hp/envy 5660 series,1.0,0.1,0.18181818181818182,10.0
/hp/envy 7640 series,0.0,0.0,0.0,20.0
/hp/f0v70b,1.0,1.0,1.0,1.0
/hp/f0v71b,0.6666666666666666,1.0,0.8,4.0
/hp/f0v72b,0.5,1.0,0.6666666666666666,1.0
/hp/f1h96a,1.0,1.0,1.0,1.0
/hp/f1h97a,1.0,1.0,1.0,6.0
/hp/f1h97c,1.0,1.0,1.0,8.0
/hp/f1j00a,0.6875,1.0,0.8148148148148148,11.0
/hp/f1j03a,0.7142857142857143,1.0,0.8333333333333333,45.0
/hp/f1j04a,1.0,1.0,1.0,1.0
/hp/f4500,1.0,1.0,1.0,1.0
/hp/f8b04a,0.7272727272727273,1.0,0.8421052631578948,24.0
/hp/g1w52a,1.0,1.0,1.0,1.0
/hp/j2d37a,1.0,1.0,1.0,2.0
/hp/j6u61b,0.75,1.0,0.8571428571428571,6.0
/hp/j6u69a,1.0,1.0,1.0,2.0
/hp/j6u70b,1.0,1.0,1.0,2.0
/hp/j7k36a,0.6666666666666666,1.0,0.8,8.0
/hp/j9v80b,1.0,1.0,1.0,4.0
/hp/j9v90a,0.6666666666666666,1.0,0.8,2.0
/hp/j9v91a,1.0,1.0,1.0,1.0
/hp/j9v95b,1.0,1.0,1.0,1.0
/hp/k4t93a,0.5,1.0,0.6666666666666666,1.0
/hp/k4t99b,1.0,1.0,1.0,1.0
/hp/k4u00b,0.4,1.0,0.5714285714285715,2.0
/hp/k7c85a,0.7692307692307693,1.0,0.8695652173913044,10.0
/hp/k7g86a,1.0,1.0,1.0,1.0
/hp/k7v40a,0.6103896103896104,0.9791666666666666,0.7519999999999999,48.0
/hp/k7v45b,0.875,1.0,0.9333333333333333,7.0
/hp/k9b54a,0.5,1.0,0.6666666666666666,1.0
/hp/k9h49a,1.0,0.3333333333333333,0.5,3.0
/hp/k9h50a,0.6666666666666666,1.0,0.8,2.0
/hp/k9h52a,1.0,1.0,1.0,1.0
/hp/k9t05b,0.8333333333333334,1.0,0.9090909090909091,5.0
/hp/k9t07b,0.5,1.0,0.6666666666666666,2.0
/hp/k9t09b,0.6,1.0,0.7499999999999999,3.0
/hp/laserjet 200 color m251nw,1.0,1.0,1.0,6.0
/hp/laserjet 200 colormfp m276nw,1.0,1.0,1.0,13.0
/hp/laserjet 400 color m451dn,0.0,0.0,0.0,27.0
/hp/laserjet 400 color m451dw,0.0,0.0,0.0,5.0
/hp/laserjet 400 color m451nw,0.0,0.0,0.0,6.0
/hp/laserjet 400 colormfp m475dn,0.0,0.0,0.0,8.0
/hp/laserjet 400 m401dn,1.0,0.8484848484848485,0.9180327868852458,33.0
/hp/laserjet 400 m401dne,0.9642857142857143,0.9310344827586207,0.9473684210526316,29.0
/hp/laserjet 400 m401n,1.0,0.8666666666666667,0.9285714285714286,15.0
/hp/laserjet 400 mfp m425dn,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
/hp/laserjet 500 colormfp m570dn,0.0,0.0,0.0,10.0
/hp/laserjet mfp m130fn,1.0,1.0,1.0,7.0
/hp/laserjet mfp m130fw,1.0,1.0,1.0,11.0
/hp/laserjet mfp m227fdn,1.0,1.0,1.0,6.0
/hp/laserjet mfp m227fdw,1.0,1.0,1.0,15.0
/hp/laserjet mfp m426dw,1.0,1.0,1.0,6.0
/hp/laserjet mfp m426fdn,1.0,1.0,1.0,26.0
/hp/laserjet mfp m426fdw,1.0,1.0,1.0,26.0
/hp/laserjet p2055dn,0.0,0.0,0.0,89.0
/hp/laserjet p2055x,1.0,1.0,1.0,8.0
/hp/laserjet pro m201dw,1.0,1.0,1.0,6.0
/hp/laserjet pro m501dn,1.0,1.0,1.0,14.0
/hp/laserjet pro m706n,1.0,1.0,1.0,5.0
/hp/laserjet pro mfp m225dw,1.0,1.0,1.0,6.0
/hp/laserjet pro mfp m521dn,1.0,1.0,1.0,7.0
/hp/m274n,1.0,1.0,1.0,2.0
/hp/m276nw,1.0,1.0,1.0,2.0
/hp/m277c6,1.0,1.0,1.0,1.0
/hp/m277dw,0.6470588235294118,1.0,0.7857142857142858,66.0
/hp/m277n,0.6666666666666666,1.0,0.8,12.0
/hp/m2q28a,1.0,1.0,1.0,1.0
/hp/m375nw,1.0,1.0,1.0,7.0
/hp/m401dn,0.6666666666666666,1.0,0.8,10.0
/hp/m401dne,0.75,0.8571428571428571,0.7999999999999999,7.0
/hp/m401dw,1.0,1.0,1.0,1.0
/hp/m401n,0.6,1.0,0.7499999999999999,3.0
/hp/m425dn,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
/hp/m425dw,1.0,1.0,1.0,2.0
/hp/m451dn,0.686046511627907,1.0,0.8137931034482759,59.0
/hp/m451dw,0.6875,1.0,0.8148148148148148,11.0
/hp/m451nw,0.7272727272727273,1.0,0.8421052631578948,16.0
/hp/m475dn,0.68,1.0,0.8095238095238095,17.0
/hp/m475dw,1.0,1.0,1.0,3.0
/hp/m476dn,0.6470588235294118,1.0,0.7857142857142858,11.0
/hp/m476dw,0.6666666666666666,1.0,0.8,12.0
/hp/m476nw,1.0,1.0,1.0,7.0
/hp/m521dw,1.0,1.0,1.0,3.0
/hp/m570dn,0.6,1.0,0.7499999999999999,15.0
/hp/m570dw,1.0,1.0,1.0,4.0
/hp/m601,1.0,1.0,1.0,17.0
/hp/m9l81a,1.0,1.0,1.0,4.0
/hp/officejet 3830 series,0.9,0.225,0.36000000000000004,40.0
/hp/officejet 4630 series,1.0,1.0,1.0,13.0
/hp/officejet 4650 series,1.0,0.23333333333333334,0.37837837837837834,30.0
/hp/officejet 5740 series,1.0,0.6153846153846154,0.761904761904762,13.0
/hp/officejet 6600,1.0,1.0,1.0,7.0
/hp/officejet 6700,0.0,0.0,0.0,9.0
/hp/officejet 6950,1.0,1.0,1.0,6.0
/hp/officejet 6960,1.0,0.2857142857142857,0.4444444444444445,7.0
/hp/officejet 7110 series,1.0,1.0,1.0,9.0
/hp/officejet 7510 series,1.0,1.0,1.0,7.0
/hp/officejet 7610 series,1.0,0.9705882352941176,0.9850746268656716,34.0
/hp/officejet pro 6830,0.0,0.0,0.0,6.0
/hp/officejet pro 6970,1.0,0.16666666666666666,0.2857142857142857,6.0
/hp/officejet pro 8100,1.0,0.23809523809523808,0.3846153846153846,42.0
/hp/officejet pro 8600,1.0,0.2072072072072072,0.3432835820895522,111.0
/hp/officejet pro 8720,0.0,0.0,0.0,12.0
/hp/officejet pro x476dw mfp,1.0,1.0,1.0,14.0
/hp/officejet pro x576dw mfp,1.0,1.0,1.0,6.0
/hp/p1606dn,1.0,1.0,1.0,2.0
/hp/p2015,1.0,1.0,1.0,13.0
/hp/p2035n,1.0,1.0,1.0,6.0
/hp/p2055dn,0.591743119266055,1.0,0.7435158501440923,129.0
/hp/p4c85a,1.0,1.0,1.0,3.0
/hp/pagewide pro 477dw mfp,0.5,0.0625,0.1111111111111111,32.0
